shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
B630156,40.651352,-74.003789,240005
B630156,40.651509999999995,-74.003623,240006
B630156,40.651509999999995,-74.003623,250001
B630156,40.651742,-74.00337900000001,250002
B630156,40.651802,-74.00331899999999,250003
B630156,40.651852000000005,-74.003259,250004
B630156,40.652202,-74.002899,250005
B630156,40.652362,-74.002739,250006
B630156,40.652848,-74.00223299999999,250007
B630156,40.652848,-74.00223299999999,260001
B630156,40.652871999999995,-74.002209,260002
B630156,40.652922,-74.00215899999999,260003
B630156,40.653412,-74.001649,260004
B630156,40.653772,-74.001269,260005
B630156,40.654052,-74.000969,260006
B630156,40.654326,-74.000694,260007
B630156,40.654326,-74.000694,270001
B630156,40.654612,-74.00040899999999,270002
B630156,40.655162,-73.999849,270003
B630156,40.655732,-73.999259,270004
B630156,40.656282,-73.99866899999999,270005
B630156,40.656576,-73.998364,270006
B630156,40.656576,-73.998364,280001
B630156,40.656842,-73.99808900000001,280002
B630156,40.657402000000005,-73.997509,280003
B630156,40.657971999999994,-73.99691899999999,280004
B630156,40.658522,-73.996329,280005
B630156,40.658813,-73.996038,280006
B630156,40.658813,-73.996038,290001
B630156,40.659092,-73.99575899999999,290002
B630156,40.659652,-73.99517900000001,290003
B630156,40.659877,-73.994937,290004
B630156,40.659877,-73.994937,300001
B630156,40.660212,-73.994579,300002
B630156,40.660762,-73.99400899999999,300003
B630156,40.660882,-73.993889,300004
B630156,40.661332,-73.99341899999999,300005
B630156,40.661442,-73.993289,300006
B630156,40.661568,-73.99316,300007
B630156,40.661568,-73.99316,310001
B630156,40.661892,-73.992829,310002
B630156,40.662462,-73.99222900000001,310003
B630156,40.663012,-73.991659,310004
B630156,40.663256,-73.991399,310005
B630156,40.663256,-73.991399,320001
B630156,40.663482,-73.991159,320002
B630156,40.663571999999995,-73.991069,320003
B630156,40.663922,-73.99069899999999,320004
B630156,40.664021999999996,-73.990599,320005
B630156,40.664112,-73.990509,320006
B630156,40.664148,-73.99047900000001,320007
B630156,40.664148,-73.99047900000001,330001
B630156,40.664952,-73.989829,330002
B630156,40.665552000000005,-73.989319,330003
B630156,40.666152000000004,-73.988809,330004
B630156,40.666294,-73.98869,330005
B630156,40.666294,-73.98869,340001
B630156,40.666752,-73.988309,340002
B630156,40.667352,-73.987789,340003
B630156,40.667962,-73.987299,340004
B630156,40.668223,-73.987077,340005
B630156,40.668223,-73.987077,350001
B630156,40.668562,-73.986789,350002
B630156,40.669182,-73.98627900000001,350003
B630156,40.669352,-73.986139,350004
B630156,40.669467,-73.98604399999999,350005
B630156,40.669467,-73.98604399999999,360001
B630156,40.669762,-73.985799,360002
B630156,40.670382000000004,-73.985289,360003
B630156,40.670608,-73.985104,360004
B630156,40.670608,-73.985104,370001
B630156,40.670982,-73.984799,370002
B630156,40.671042,-73.984749,370003
B630156,40.671572,-73.984299,370004
B630156,40.671844,-73.984073,370005
B630156,40.671844,-73.984073,380001
B630156,40.672162,-73.983809,380002
B630156,40.672522,-73.983519,380003
B630156,40.672782,-73.983299,380004
B630156,40.673049,-73.983073,380005
B630156,40.673049,-73.983073,390001
B630156,40.673362,-73.982809,390002
B630156,40.673982,-73.982289,390003
B630156,40.674592,-73.981789,390004
B630156,40.674865999999994,-73.98156,390005
B630156,40.674865999999994,-73.98156,400001
B630156,40.675132,-73.981339,400002
B630156,40.675742,-73.980889,400003
B630156,40.676382000000004,-73.980419,400004
B630156,40.676682,-73.98021899999999,400005
B630156,40.676691,-73.980213,400006
B630156,40.676691,-73.980213,410001
B630156,40.677002,-73.980009,410002
B630156,40.677392,-73.979759,410003
B630156,40.677632,-73.979589,410004
B630156,40.678312,-73.979159,410005
B630156,40.678382,-73.979109,410006
B630156,40.678652,-73.97892900000001,410007
B630156,40.678678000000005,-73.978912,410008
B630156,40.678678000000005,-73.978912,420001
B630156,40.679032,-73.978689,420002
B630156,40.679302,-73.97851899999999,420003
B630156,40.679572,-73.978319,420004
B630156,40.679662,-73.978259,420005
B630156,40.679952,-73.978039,420006
B630156,40.680192,-73.977889,420007
B630156,40.680292,-73.977819,420008
B630156,40.680578999999994,-73.977622,420009
B630156,40.680578999999994,-73.977622,430001
B630156,40.680832,-73.977449,430002
B630156,40.681472,-73.977029,430003
B630156,40.681932,-73.976709,430004
B630156,40.681932,-73.976709,440001
B630156,40.682092,-73.976599,440002
B630156,40.682502,-73.976339,440003
B630156,40.682882,-73.976609,440004
B630156,40.683991999999996,-73.977399,440005
B630156,40.684202,-73.977889,440006
B630156,40.684371999999996,-73.978309,440007
B630156,40.684529,-73.978697,440008
B630156,40.684529,-73.978697,450001
B630156,40.684562,-73.978779,450002
B630156,40.684662,-73.979029,450003
B630156,40.685322,-73.980689,450004
B630156,40.685342,-73.980749,450005
B630156,40.685463,-73.98105699999999,450006
B630156,40.685463,-73.98105699999999,460001
B630156,40.685602,-73.981409,460002
B630156,40.685662,-73.98157900000001,460003
B630156,40.685922,-73.982279,460004
B630156,40.686071999999996,-73.982659,460005
B630156,40.686237,-73.983103,460006
B630156,40.686237,-73.983103,470001
B630156,40.686362,-73.983439,470002
B630156,40.686912,-73.98483900000001,470003
B630156,40.687052,-73.985198,470004
B630156,40.687052,-73.985198,480001
B630156,40.687512,-73.986379,480002
B630156,40.687752,-73.98698900000001,480003
B630156,40.687927,-73.98743499999999,480004
B630156,40.687927,-73.98743499999999,490001
B630156,40.688472,-73.98881899999999,490002
B630156,40.688612,-73.98916899999999,490003
B630156,40.688732,-73.989526,490004
B630156,40.688732,-73.989526,500001
B630156,40.688922,-73.990089,500002
B630156,40.689071999999996,-73.99051899999999,500003
B630156,40.689122,-73.990669,500004
B630156,40.689238,-73.991034,500005
B630156,40.689238,-73.991034,510001
B630156,40.689262,-73.991109,510002
B630156,40.689362,-73.99140899999999,510003
B630156,40.689692,-73.992389,510004
B630156,40.68974,-73.992564,510005
B630156,40.68974,-73.992564,520001
B630156,40.689842,-73.992929,520002
B630156,40.690052,-73.993729,520003
B630156,40.690222,-73.994349,520004
B630156,40.690339,-73.99476899999999,520005
B630156,40.690339,-73.99476899999999,530001
B630156,40.690715999999995,-73.996122,530002
B630156,40.690715999999995,-73.996122,540001
B630156,40.690752,-73.996249,540002
B630156,40.691127,-73.997647,540003
B630156,40.691127,-73.997647,550001
B630156,40.691162,-73.99777900000001,550002
B630156,40.691221999999996,-73.997989,550003
B630156,40.691352,-73.998479,550004
B630156,40.691392,-73.998639,550005
B630156,40.691492,-73.998979,550006
B630156,40.691522,-73.999099,550007
B630156,40.691562,-73.999259,550008
B630156,40.691592,-73.999369,550009
B630156,40.691621999999995,-73.99946899999999,550010
B630156,40.691742,-73.999889,550011
B630156,40.691821999999995,-74.000149,550012
B630156,40.691872,-74.00031899999999,550013
B630156,40.691962,-74.000589,550014
B630156,40.692112,-74.000529,550015
B630156,40.692552,-74.00031899999999,550016
B630156,40.692862,-74.000189,550017
B630156,40.69296,-74.00053199999999,550018
